datetime,open,high,low,close,volume,symbol
2025-01-13 11:00:00,4303.8,4307.0,4289.0,4296.85,123347,TCS
2025-01-13 11:15:00,4296.85,4304.6,4283.05,4286.0,115980,TCS
2025-01-13 11:30:00,4285.95,4298.0,4282.0,4296.35,76610,TCS
2025-01-13 11:45:00,4296.25,4306.0,4290.7,4302.9,117782,TCS
2025-01-13 12:00:00,4303.7,4311.95,4299.0,4309.55,174310,TCS
2025-01-13 12:15:00,4309.0,4322.45,4306.7,4321.0,235770,TCS
2025-01-13 12:30:00,4320.15,4322.95,4311.3,4313.45,203183,TCS
2025-01-13 12:45:00,4313.45,4315.7,4303.0,4306.1,156528,TCS
2025-01-13 13:00:00,4307.0,4315.0,4306.0,4310.55,120074,TCS
2025-01-13 13:15:00,4310.5,4321.9,4310.2,4314.5,134498,TCS
2025-01-13 13:30:00,4314.45,4315.5,4306.0,4307.45,106007,TCS
2025-01-13 13:45:00,4307.5,4307.75,4292.2,4293.8,114004,TCS
2025-01-13 14:00:00,4295.45,4300.65,4291.7,4298.0,100309,TCS
2025-01-13 14:15:00,4298.5,4304.95,4295.3,4295.8,95660,TCS
2025-01-13 14:30:00,4296.0,4300.0,4284.8,4288.5,173284,TCS
2025-01-13 14:45:00,4288.5,4294.85,4283.75,4284.5,120306,TCS
2025-01-13 15:00:00,4284.55,4295.95,4282.0,4291.4,269538,TCS
2025-01-13 15:15:00,4291.4,4300.0,4290.05,4299.0,279826,TCS
2025-01-14 09:15:00,4302.0,4313.9,4255.55,4255.95,230791,TCS
2025-01-14 09:30:00,4256.95,4270.5,4250.0,4261.25,137884,TCS
2025-01-14 09:45:00,4261.9,4299.45,4260.3,4297.55,111582,TCS
2025-01-14 10:00:00,4297.55,4299.9,4283.0,4289.8,85265,TCS
2025-01-14 10:15:00,4288.75,4294.7,4284.1,4289.4,55287,TCS
2025-01-14 10:30:00,4290.0,4295.25,4272.45,4276.3,88533,TCS
2025-01-14 10:45:00,4276.3,4281.25,4268.8,4278.0,114655,TCS
2025-01-14 11:00:00,4278.0,4281.0,4272.0,4274.0,141971,TCS
2025-01-14 11:15:00,4274.1,4274.1,4263.3,4268.7,75912,TCS
2025-01-14 11:30:00,4268.6,4275.0,4263.0,4265.0,125077,TCS
2025-01-14 11:45:00,4265.05,4270.9,4259.95,4264.85,162899,TCS
2025-01-14 12:00:00,4264.7,4268.45,4262.25,4263.3,49067,TCS
2025-01-14 12:15:00,4263.3,4267.5,4262.65,4264.45,48672,TCS
2025-01-14 12:30:00,4264.05,4264.25,4250.1,4257.0,58708,TCS
2025-01-14 12:45:00,4255.85,4256.6,4240.0,4241.65,113845,TCS
2025-01-14 13:00:00,4241.6,4242.55,4233.95,4235.75,110131,TCS
2025-01-14 13:15:00,4235.75,4241.8,4233.6,4238.2,100237,TCS
2025-01-14 13:30:00,4238.15,4240.2,4234.0,4236.3,89129,TCS
2025-01-14 13:45:00,4236.3,4242.15,4228.55,4230.15,94475,TCS
2025-01-14 14:00:00,4230.15,4230.5,4219.05,4221.1,161922,TCS
2025-01-14 14:15:00,4221.15,4248.65,4219.7,4240.75,167022,TCS
2025-01-14 14:30:00,4240.8,4245.4,4237.05,4245.4,129409,TCS
2025-01-14 14:45:00,4245.4,4248.7,4235.5,4238.8,169972,TCS
