company_name,industry,symbol,Series,isin,index_code,scrape_date
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030,NIFTYLARGEMIDCAP250,2026-02-03
Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017,NIFTYLARGEMIDCAP250,2026-02-03
Linde India Ltd.,Chemicals,LINDEINDIA,EQ,INE473A01011,NIFTYLARGEMIDCAP250,2026-02-03
Lloyds Metals And Energy Ltd.,Metals & Mining,LLOYDSME,EQ,INE281B01032,NIFTYLARGEMIDCAP250,2026-02-03
Lodha Developers Ltd.,Realty,LODHA,EQ,INE670K01029,NIFTYLARGEMIDCAP250,2026-02-03
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037,NIFTYLARGEMIDCAP250,2026-02-03
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011,NIFTYLARGEMIDCAP250,2026-02-03
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024,NIFTYLARGEMIDCAP250,2026-02-03
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026,NIFTYLARGEMIDCAP250,2026-02-03
Mankind Pharma Ltd.,Healthcare,MANKIND,EQ,INE634S01028,NIFTYLARGEMIDCAP250,2026-02-03
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026,NIFTYLARGEMIDCAP250,2026-02-03
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010,NIFTYLARGEMIDCAP250,2026-02-03
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020,NIFTYLARGEMIDCAP250,2026-02-03
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010,NIFTYLARGEMIDCAP250,2026-02-03
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01020,NIFTYLARGEMIDCAP250,2026-02-03
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027,NIFTYLARGEMIDCAP250,2026-02-03
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018,NIFTYLARGEMIDCAP250,2026-02-03
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012,NIFTYLARGEMIDCAP250,2026-02-03
NHPC Ltd.,Power,NHPC,EQ,INE848E01016,NIFTYLARGEMIDCAP250,2026-02-03
NLC India Ltd.,Power,NLCINDIA,EQ,INE589A01014,NIFTYLARGEMIDCAP250,2026-02-03
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023,NIFTYLARGEMIDCAP250,2026-02-03
NTPC Green Energy Ltd.,Power,NTPCGREEN,EQ,INE0ONG01011,NIFTYLARGEMIDCAP250,2026-02-03
NTPC Ltd.,Power,NTPC,EQ,INE733E01010,NIFTYLARGEMIDCAP250,2026-02-03
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034,NIFTYLARGEMIDCAP250,2026-02-03
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024,NIFTYLARGEMIDCAP250,2026-02-03
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,EQ,INE298J01013,NIFTYLARGEMIDCAP250,2026-02-03
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010,NIFTYLARGEMIDCAP250,2026-02-03
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029,NIFTYLARGEMIDCAP250,2026-02-03
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014,NIFTYLARGEMIDCAP250,2026-02-03
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020,NIFTYLARGEMIDCAP250,2026-02-03
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027,NIFTYLARGEMIDCAP250,2026-02-03
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026,NIFTYLARGEMIDCAP250,2026-02-03
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030,NIFTYLARGEMIDCAP250,2026-02-03
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022,NIFTYLARGEMIDCAP250,2026-02-03
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI,EQ,INE619A01035,NIFTYLARGEMIDCAP250,2026-02-03
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021,NIFTYLARGEMIDCAP250,2026-02-03
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,EQ,INE347G01014,NIFTYLARGEMIDCAP250,2026-02-03
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039,NIFTYLARGEMIDCAP250,2026-02-03
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026,NIFTYLARGEMIDCAP250,2026-02-03
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017,NIFTYLARGEMIDCAP250,2026-02-03
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011,NIFTYLARGEMIDCAP250,2026-02-03
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,NIFTYLARGEMIDCAP250,2026-02-03
Premier Energies Ltd.,Capital Goods,PREMIERENE,EQ,INE0BS701011,NIFTYLARGEMIDCAP250,2026-02-03
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011,NIFTYLARGEMIDCAP250,2026-02-03
Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH,EQ,INE179A01014,NIFTYLARGEMIDCAP250,2026-02-03
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022,NIFTYLARGEMIDCAP250,2026-02-03
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018,NIFTYLARGEMIDCAP250,2026-02-03
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027,NIFTYLARGEMIDCAP250,2026-02-03
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,NIFTYLARGEMIDCAP250,2026-02-03
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016,NIFTYLARGEMIDCAP250,2026-02-03
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,NIFTYLARGEMIDCAP250,2026-02-03
SJVN Ltd.,Power,SJVN,EQ,INE002L01015,NIFTYLARGEMIDCAP250,2026-02-03
SRF Ltd.,Chemicals,SRF,EQ,INE647A01010,NIFTYLARGEMIDCAP250,2026-02-03
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035,NIFTYLARGEMIDCAP250,2026-02-03
Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER,EQ,INE513A01022,NIFTYLARGEMIDCAP250,2026-02-03
